기준_년분기_코드,구명,행정동_코드_명,서비스_업종_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,당월_매출_건수,주중_매출_건수,주말_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20242,강서구,화곡8동,치킨전문점,81619207,55837924,25781283,0,6163742,15256957,22003969,21848633,13700893,3530,2432,1098,1958,1503,0,389,850,794,857,570
20242,강서구,가양1동,치킨전문점,146133912,114748705,31385207,395056,16852259,30229879,27918347,33579188,18008146,3771,2890,881,2300,1211,21,450,887,785,863,507
20242,강서구,가양3동,치킨전문점,172507857,131161144,41346713,1629231,12678528,38357865,35471692,34074979,30062638,6715,5080,1635,3824,2538,70,496,1469,1340,1495,1490
20242,강서구,발산1동,치킨전문점,396767826,269235099,127532727,1846236,16461988,44016505,122633600,114573921,83032463,24828,17211,7617,12759,11528,173,1082,2955,7511,6849,5718
20242,강서구,우장산동,치킨전문점,98814874,64107801,34707073,0,13038024,24311198,26742353,18894657,13776041,5932,3959,1973,3246,2613,0,796,1467,1561,1190,845
20242,강서구,공항동,치킨전문점,320325293,265571940,54753353,717437,38768848,99302846,66684165,54203778,31051664,7698,6189,1509,4642,2629,30,902,2326,1754,1373,883
20242,강서구,방화1동,치킨전문점,708644748,485781805,222862943,3590926,41215230,120488836,178838891,189411482,128583182,27337,18482,8855,15550,10849,209,1776,4782,6383,7239,6005
20242,강서구,방화2동,치킨전문점,356149310,236862927,119286383,386847,20381933,40560739,82797597,105630402,58961847,13400,8448,4952,7962,4475,18,951,1893,3652,3701,2220
20242,강서구,방화3동,치킨전문점,232196270,159422816,72773454,1704063,14233882,32209327,56844771,61801287,49941794,9098,6131,2967,4802,3933,119,713,1552,1879,2428,2044
20242,강남구,신사동,치킨전문점,712917190,528147561,184769629,5159379,91976853,173764726,138276941,128644448,48722016,13891,10720,3171,7125,4972,201,2271,3510,2580,2516,1021
20242,강남구,논현1동,치킨전문점,489819828,383733616,106086212,3278181,73219651,151337497,85684043,53258062,24942387,13480,10367,3113,7520,4101,140,1948,4219,2773,1690,854
20242,강남구,논현2동,치킨전문점,1055718844,899927071,155791773,2159981,87191968,229313308,196513989,160386454,70431667,22060,19234,2826,12471,5589,62,2296,5152,5332,3527,1685
20242,강남구,압구정동,치킨전문점,361173138,284931744,76241394,1841403,34654775,68742196,69119966,65436283,31923326,6251,4958,1293,3035,2046,79,695,1192,1306,1237,572
20242,강남구,청담동,치킨전문점,492411726,373757726,118654000,1044527,38008471,83482286,96917223,90964360,72306100,11116,8262,2854,5571,3686,36,867,1672,2312,2497,1873
20242,강남구,삼성1동,치킨전문점,853133614,774536003,78597611,1437284,65680959,160635520,184237352,113116243,51777911,13687,12344,1343,6796,3185,44,1063,2781,3269,1981,841
20242,강남구,삼성2동,치킨전문점,644104929,497249218,146855711,7032898,62080725,103045409,130918601,121421903,53752953,16002,12213,3789,7494,5411,299,1865,2673,3408,3109,1553
20242,강남구,대치1동,치킨전문점,173296721,123201538,50095183,564970,9201875,16614026,61908853,35906195,33056877,4362,3097,1265,2438,1607,22,264,331,1452,1089,888
20242,강남구,대치2동,치킨전문점,1426052459,1050488610,375563849,16956486,96804898,180515827,413318843,257345502,131467459,31376,22243,9133,16494,10021,661,2273,4250,9528,6778,3022
20242,강남구,대치4동,치킨전문점,1486203574,1138595764,347607810,28920517,129483613,232457720,352505983,299521415,115415193,32621,24063,8558,16798,11153,1252,3001,4874,8230,7927,2664
20242,강남구,역삼1동,치킨전문점,3390547815,2836347371,554200444,21229128,422486420,804805096,591130897,473394312,202901484,78129,62755,15374,42725,22830,1335,12343,20021,14253,11928,5675
20242,강남구,역삼2동,치킨전문점,549703821,468390562,81313259,439555,37206248,102098294,133491931,97122801,30292307,12633,10990,1643,6457,4041,17,1159,3072,3343,2141,768
20242,강남구,도곡1동,치킨전문점,98307208,89085105,9222103,1767290,4685120,13084848,38062865,11599013,4840306,8540,7934,606,3370,4647,492,540,1371,4301,927,385
