"기준_년분기_코드","자치구명","행정동_코드","행정동_코드_명","총_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","연령대_10_유동인구_비율","연령대_20_유동인구_비율","연령대_30_유동인구_비율","연령대_40_유동인구_비율","연령대_50_유동인구_비율","연령대_60_이상_유동인구_비율"
"2024Q1","강북구","11305660","인수동","8099621","1247834","977344","1031953","1192871","1291479","2358139","15.4061","12.0665","12.7408","14.7275","15.9449","29.1142"
"2024Q1","강북구","11305645","우이동","4173211","600549","566419","546889","615607","670559","1173187","14.3906","13.5727","13.1048","14.7514","16.0682","28.1123"
"2024Q1","강북구","11305635","수유3동","10578011","1138818","2185962","1552029","1537779","1662923","2500501","10.7659","20.6652","14.6722","14.5375","15.7206","23.6387"
"2024Q1","강북구","11305625","수유2동","5518500","777787","707991","665968","826184","901883","1638689","14.0942","12.8294","12.0679","14.9712","16.3429","29.6945"
"2024Q1","강북구","11305615","수유1동","6418765","854526","914138","839463","897376","1069769","1843494","13.3129","14.2416","13.0783","13.9805","16.6663","28.7204"
"2024Q1","강북구","11305608","번3동","3422683","534502","336352","375826","503792","545029","1127183","15.6165","9.8271","10.9805","14.7192","15.924","32.9327"
"2024Q1","강북구","11305603","번2동","2981748","416372","370095","354116","422666","479083","939416","13.964","12.412","11.8761","14.1751","16.0672","31.5055"
"2024Q1","강북구","11305595","번1동","7160604","798123","1279261","1018449","1084420","1173936","1806414","11.146","17.8653","14.2229","15.1443","16.3944","25.2271"
"2024Q1","강북구","11305575","삼각산동","3118955","789353","263459","340413","557257","488827","679646","25.3083","8.447","10.9143","17.8668","15.6728","21.7908"
"2024Q1","강북구","11305555","송천동","12576946","2050755","1343982","1527537","1923736","2139612","3591323","16.3057","10.6861","12.1455","15.2957","17.0122","28.5548"
"2024Q1","강북구","11305545","송중동","12532651","1837141","1695234","1685726","1942281","2052539","3319730","14.6588","13.5265","13.4507","15.4978","16.3775","26.4886"
"2024Q1","강북구","11305535","미아동","7943183","806514","1380763","1048485","1073286","1374086","2260047","10.1535","17.383","13.1998","13.512","17.2989","28.4527"
"2024Q1","강북구","11305534","삼양동","11143427","1720695","1323981","1336952","1698903","1824907","3237988","15.4413","11.8813","11.9977","15.2458","16.3765","29.0574"
"2023Q4","강동구","11740700","둔촌2동","7202398","1357167","816795","1022386","1135790","1076795","1793466","18.8433","11.3406","14.1951","15.7696","14.9505","24.901"
"2023Q4","강동구","11740690","둔촌1동","8315","1892","785","1010","1361","1292","1976","22.7541","9.4408","12.1467","16.368","15.5382","23.7643"
"2023Q4","강동구","11740685","길동","17282662","2402817","2169023","2698755","2752026","2724941","4535100","13.903","12.5503","15.6154","15.9236","15.7669","26.2407"
"2023Q4","강동구","11740660","성내3동","6617399","899878","903260","1019553","1141089","1053696","1599924","13.5987","13.6498","15.4072","17.2438","15.9231","24.1775"
"2023Q4","강동구","11740650","성내2동","8504993","1200149","1127490","1441539","1327998","1293674","2114142","14.1111","13.2568","16.9493","15.6143","15.2108","24.8577"
"2023Q4","강동구","11740640","성내1동","5972600","1054510","676147","950920","1004587","925834","1360603","17.6558","11.3208","15.9214","16.8199","15.5014","22.7807"
"2023Q4","강동구","11740620","천호3동","7401954","887044","1136168","1365821","1106665","1093693","1812561","11.9839","15.3496","18.4522","14.951","14.7757","24.4876"
"2023Q4","강동구","11740610","천호2동","11202019","1491268","1434098","1939991","1829503","1741589","2765571","13.3125","12.8021","17.3182","16.3319","15.5471","24.6881"
"2023Q4","강동구","11740600","천호1동","10244259","1773434","1131695","1562273","1638364","1537936","2600557","17.3115","11.0471","15.2502","15.993","15.0127","25.3855"
"2023Q4","강동구","11740590","암사3동","1626861","407135","151009","212498","286883","229861","339475","25.0258","9.2822","13.0618","17.6341","14.1291","20.8669"
"2023Q4","강동구","11740580","암사2동","2519657","395281","287380","450730","433073","384419","568774","15.6879","11.4055","17.8885","17.1878","15.2568","22.5735"
"2023Q4","강동구","11740570","암사1동","7975228","1319852","883766","1218710","1319487","1262866","1970545","16.5494","11.0814","15.2812","16.5448","15.8349","24.7083"
"2023Q4","강동구","11740560","고덕2동","2218769","485608","189223","318138","410776","306878","508146","21.8864","8.5283","14.3385","18.5137","13.831","22.9022"
"2023Q4","강동구","11740550","고덕1동","3779490","1269286","280569","405835","675465","452019","696316","33.5835","7.4235","10.7378","17.8719","11.9598","18.4235"
"2023Q4","강동구","11740540","명일2동","2199603","627034","197387","210387","355590","302507","506699","28.5067","8.9738","9.5648","16.1661","13.7528","23.0359"
"2023Q4","강동구","11740530","명일1동","4879598","929179","480453","636632","843142","716942","1273251","19.0421","9.8462","13.0468","17.2789","14.6926","26.0934"
"2023Q4","강동구","11740520","상일동","3424596","677736","290159","510865","678863","501856","765119","19.7902","8.4728","14.9175","19.8232","14.6545","22.3419"
"2023Q4","강동구","11740515","강일동","4122276","1002066","347415","543679","751892","558342","918884","24.3086","8.4277","13.1888","18.2397","13.5445","22.2907"
"2023Q4","강남구","11680750","수서동","2191957","282614","203393","350601","383289","318223","653836","12.8932","9.2791","15.9949","17.4862","14.5178","29.8289"
