기준시점,시도,자치구,행정동,총인구수,0~9세_비율,10~19세_비율,20~29세_비율,30~39세_비율,40~49세_비율,50~59세_비율,60세이상_비율
2023Q1,서울특별시,강서구,발산제1동,35919,0.07074250397,0.1371140622,0.1202427685,0.1060719953,0.1842757315,0.1660959381,0.2154570005
2023Q1,서울특별시,강서구,방화제1동,42512,0.07856605194,0.1020652992,0.1102277004,0.1390666165,0.174609522,0.1500047046,0.2454601054
2023Q1,서울특별시,강서구,방화제2동,22997,0.04561464539,0.05818150194,0.137626647,0.1649780406,0.13566987,0.1484106623,0.3095186329
2023Q1,서울특별시,강서구,방화제3동,22320,0.0501344086,0.06285842294,0.09296594982,0.1562275986,0.146281362,0.1479390681,0.34359319
2023Q1,서울특별시,강서구,염창동,41378,0.08651940645,0.1073275654,0.1299966166,0.1743921891,0.1788148291,0.146019624,0.1769297694
2023Q1,서울특별시,강서구,우장산동,43515,0.073675744,0.1278409744,0.1182350913,0.1178903826,0.1903711364,0.1608870504,0.2110996208
2023Q1,서울특별시,강서구,화곡본동,33572,0.04879065888,0.06681162874,0.1729417372,0.1844394138,0.1568271178,0.1413678065,0.2288216371
2023Q1,서울특별시,강서구,화곡제1동,51788,0.04226847918,0.04421873793,0.1808140882,0.206051595,0.1426392214,0.1383332046,0.2456746737
2023Q1,서울특별시,강서구,화곡제2동,17420,0.05080367394,0.07508610792,0.142250287,0.1541331803,0.1639494834,0.1604477612,0.2533295063
2023Q1,서울특별시,강서구,화곡제3동,21352,0.04880104908,0.07521543649,0.1437336081,0.1501498689,0.1454196328,0.1495878606,0.287092544
2023Q1,서울특별시,강서구,화곡제4동,20052,0.04448434071,0.06323558747,0.131059246,0.1516556952,0.157839617,0.1610313186,0.2906941951
2023Q1,서울특별시,강서구,화곡제6동,25000,0.04124,0.0602,0.17792,0.18024,0.13832,0.14972,0.25236
2023Q1,서울특별시,강서구,화곡제8동,23910,0.04186532831,0.06068590548,0.1568799665,0.1625679632,0.1536595567,0.1496863237,0.2746549561
2023Q2,서울특별시,강남구,개포1동,6874,0.06211812627,0.1025603724,0.09994180972,0.09819610125,0.1555135292,0.1533313937,0.3283386674
2023Q2,서울특별시,강남구,개포2동,38769,0.08826639841,0.1259511465,0.1139828213,0.1331218241,0.1802728984,0.1657767804,0.1926281307
2023Q2,서울특별시,강남구,개포3동,17069,0.06198371316,0.09736950026,0.09801394341,0.1415431484,0.1727107622,0.1446481926,0.2837307399
2023Q2,서울특별시,강남구,개포4동,23395,0.06783500748,0.09416541996,0.1270356914,0.156315452,0.1622996367,0.1682410772,0.2241077153
2023Q2,서울특별시,강남구,논현1동,21261,0.02633930671,0.03861530502,0.1890785946,0.2468369315,0.1731809416,0.1289214995,0.1970274211
2023Q2,서울특별시,강남구,논현2동,20662,0.04505856161,0.05919078502,0.1590843094,0.2018197658,0.1763140064,0.1452424741,0.2132900978
2023Q2,서울특별시,강남구,대치1동,23784,0.06437100572,0.2237218298,0.09472754793,0.05671880256,0.2238900101,0.1723847965,0.1641860074
2023Q2,서울특별시,강남구,대치2동,37026,0.05612272457,0.1706098417,0.109382596,0.08896451142,0.1859504132,0.1771457894,0.2118241236
2023Q2,서울특별시,강남구,대치4동,18862,0.03170395504,0.1202947726,0.162602057,0.1633973068,0.1868306648,0.1774467183,0.1577245255
2023Q2,서울특별시,강남구,도곡1동,20734,0.07089804186,0.1160895148,0.1212501206,0.1359120286,0.1785473136,0.1605575383,0.2167454423
2023Q2,서울특별시,강남구,도곡2동,32567,0.07397058372,0.1471428133,0.1092516965,0.09343814291,0.1862928732,0.1715540271,0.2183498634
2023Q2,서울특별시,강남구,삼성1동,12345,0.05565006075,0.09453219927,0.1265289591,0.1414337789,0.1607128392,0.1667881733,0.2543539895
2023Q2,서울특별시,강남구,삼성2동,30464,0.06732536765,0.1179096639,0.1212578782,0.1533285189,0.2038143382,0.1607142857,0.1756499475
2023Q2,서울특별시,강남구,세곡동,44205,0.07392828866,0.1142404705,0.1206424613,0.1445311616,0.178577084,0.1412962335,0.2267843004
2023Q2,서울특별시,강남구,수서동,14220,0.04022503516,0.03495077356,0.08122362869,0.1367088608,0.114697609,0.132559775,0.4596343179
2023Q2,서울특별시,강남구,신사동,15555,0.05451623272,0.09951783992,0.1258116361,0.1329476053,0.1621343619,0.1641915783,0.2608807457
2023Q2,서울특별시,강남구,압구정동,25607,0.07076190104,0.1045807787,0.1090326864,0.1091888937,0.1674932636,0.1673370563,0.2716054204
2023Q2,서울특별시,강남구,역삼1동,34328,0.02476112794,0.03754952226,0.202167327,0.2835003496,0.1743474715,0.1213586577,0.1563155442
2023Q2,서울특별시,강남구,역삼2동,36920,0.0624864572,0.1574485374,0.1214788732,0.125,0.2318255688,0.1570964247,0.1446641387
2023Q2,서울특별시,강남구,일원1동,14642,0.04207075536,0.0678869007,0.1348176479,0.148476984,0.1367299549,0.1477257205,0.3222920366
2023Q2,서울특별시,강남구,일원본동,22824,0.07803189625,0.1426568524,0.1000701016,0.1124693305,0.1882667368,0.160576586,0.2179284963
2023Q2,서울특별시,강남구,청담동,25026,0.06892831455,0.09018620635,0.1315032366,0.150563414,0.179773036,0.1593143131,0.2197314793
2023Q2,서울특별시,강동구,강일동,32811,0.0867696809,0.1101459876,0.1027704124,0.1279448965,0.1657980555,0.1455609399,0.2610100271
2023Q2,서울특별시,강동구,고덕제1동,23876,0.09595409616,0.1578572625,0.08368235885,0.104582007,0.2197185458,0.1426118278,0.1955939018
2023Q2,서울특별시,강동구,고덕제2동,22727,0.107581291,0.1010252123,0.09262111145,0.15166982,0.1915782989,0.1418577023,0.213666564
2023Q2,서울특별시,강동구,길동,44808,0.04677736119,0.05914122478,0.1441037315,0.1606186395,0.1462238886,0.1586100696,0.2845250848
2023Q2,서울특별시,강동구,둔촌제1동,61,0.01639344262,0.08196721311,0.1147540984,0.1803278689,0.1639344262,0.1803278689,0.262295082
2023Q2,서울특별시,강동구,둔촌제2동,24058,0.06168426303,0.07831074902,0.1305594813,0.1478510267,0.1468950037,0.1621498046,0.2725496716
2023Q2,서울특별시,강동구,명일제1동,25458,0.08166391704,0.09305522822,0.1093958677,0.1498153822,0.1628171891,0.1543719067,0.2488805091
2023Q2,서울특별시,강동구,명일제2동,17210,0.0563625799,0.1381173736,0.1256827426,0.1088901801,0.1731551424,0.1545031958,0.2432887856
2023Q2,서울특별시,강동구,상일제1동,39283,0.1192882417,0.1182699896,0.08889341445,0.1349184125,0.2019448616,0.1374894993,0.1991955808
2023Q2,서울특별시,강동구,상일제2동,11923,0.08731024071,0.1160781682,0.1366266879,0.1394783192,0.1523945316,0.147194498,0.2209175543
2023Q2,서울특별시,강동구,성내제1동,19580,0.07012257406,0.08283963228,0.1286006129,0.1532175689,0.1667517875,0.152145046,0.2463227783
2023Q2,서울특별시,강동구,성내제2동,22747,0.03824680178,0.04572031477,0.1536905966,0.1803754341,0.136677364,0.1525915505,0.2926979382
2023Q2,서울특별시,강동구,성내제3동,22559,0.04525909836,0.06915200142,0.1473912851,0.1472583005,0.1507159005,0.1694224035,0.2708010107
2023Q2,서울특별시,강동구,암사제1동,34022,0.05284815707,0.07016048439,0.1303568279,0.144465346,0.152901064,0.1708600317,0.2784080889
2023Q2,서울특별시,강동구,암사제2동,14890,0.07904633983,0.06729348556,0.1185359302,0.179113499,0.1564808596,0.1503022163,0.2492276696
2023Q2,서울특별시,강동구,암사제3동,17398,0.09041269111,0.1112196804,0.1037475572,0.1212783079,0.1830095413,0.1513392344,0.2389929877
2023Q2,서울특별시,강동구,천호제1동,26206,0.04579104022,0.05960467069,0.1274135694,0.1493169503,0.1432496375,0.1663359536,0.3082881783
2023Q2,서울특별시,강동구,천호제2동,33091,0.0452993261,0.0506784322,0.1417303799,0.1869088272,0.1444199329,0.152790789,0.2781723127
2023Q2,서울특별시,강동구,천호제3동,26245,0.04457991998,0.04221756525,0.1656315489,0.1895980187,0.1363307297,0.1482187083,0.2734235092
